time,value
2020-12-01,99.457
2021-01-01,99.457
2021-02-01,99.457
2021-03-01,98.8095
2021-04-01,98.8095
2021-05-01,98.8095
2021-06-01,98.8095
2021-07-01,98.8095
2021-08-01,98.8095
2021-09-01,98.8095
2021-10-01,98.8095
2021-11-01,98.8095
2021-12-01,98.8095
2022-01-01,98.8095
2022-02-01,98.8095
2022-03-01,99.4759
2022-04-01,99.4759
2022-05-01,99.4759
2022-06-01,99.4759
2022-07-01,99.4759
2022-08-01,99.4759
2022-09-01,99.4759
2022-10-01,99.4759
2022-11-01,99.4759
2022-12-01,99.4759
2023-01-01,99.4759
2023-02-01,99.4759
2023-03-01,99.081
2023-04-01,99.081
2023-05-01,99.081
2023-06-01,99.081
2023-07-01,99.081
2023-08-01,99.081
2023-09-01,99.081
2023-10-01,99.081
2023-11-01,99.081
2023-12-01,99.081
2024-01-01,99.081
2024-02-01,99.081
2024-03-01,100.0099
2024-04-01,100.0099
2024-05-01,100.0099
2024-06-01,100.0099
2024-07-01,100.0099
2024-08-01,100.0099
2024-09-01,100.0099
2024-10-01,100.0099
2024-11-01,100.0099
2024-12-01,100.0099
2025-01-01,100.0099
2025-02-01,100.0099
2025-03-01,100
2025-04-01,100
2025-05-01,100
2025-06-01,100
2025-07-01,100
2025-08-01,100
2025-09-01,100
2025-10-01,100
2025-11-01,100
2025-12-01,100
2026-01-01,100
2026-02-01,100
2026-03-01,100.4167
